Side,Attacker,Target,Target_Status,Max_range,Min_range,100m Ph,500m Ph,"1,500m Ph","2,500m Ph",Pk/h,RL
Red,TANK,TANK,Open,3000,-,0.70,0.60,0.35,0.15,0.70,
Red,TANK,TANK,Defilade,3000,-,0.18,0.09,0.05,0.02,0.70,
Red,TANK,RIFLE,Stand,3000,-,0.95,0.90,0.80,0.60,1.00,
Red,TANK,RIFLE,Prone,3000,-,0.40,0.32,0.07,0.00,0.40,
Red,TANK,RIFLE,Trench,3000,-,0.12,0.07,0.01,0.00,0.40,
Red,TANK,COMMAND_POST,All,3000,-,0.12,0.09,0.05,0.02,0.20,
Red,ARTILLERY,TANK,All,65000,24700,Carlton,Carlton,Carlton,Carlton,0.30,SQRT(A/π)
Red,ARTILLERY,RIFLE,Stand,65000,24700,Carlton,Carlton,Carlton,Carlton,0.70,SQRT(A/π)
Red,ARTILLERY,RIFLE,Prone,65000,24700,Carlton,Carlton,Carlton,Carlton,0.45,SQRT(A/π)
Red,ARTILLERY,RIFLE,Trench,65000,24700,Carlton,Carlton,Carlton,Carlton,0.25,SQRT(A/π)
Red,ARTILLERY,COMMAND_POST,All,65000,24700,Carlton,Carlton,Carlton,Carlton,0.50,SQRT(A/π)
Red,RIFLE,RIFLE,Stand,500,-,0.55,0.45,0.00,0.00,0.40,
Red,RIFLE,RIFLE,Prone,500,-,0.40,0.32,0.00,0.00,0.40,
Red,RIFLE,RIFLE,Trench,500,-,0.12,0.07,0.00,0.00,0.40,
Red,RIFLE,DRONE,All,500,-,0.10,0.06,0.00,0.00,0.95,
Red,RIFLE,SELF_DEST_DRONE,All,500,-,0.08,0.04,0.00,0.00,0.95,
Red,ANTI_TANK,TANK,All,200(Ph=0.5),-,0.70,0.00,0.00,0.00,0.80,
Red,SELF_DEST_DRONE,TANK,All,40000,-,0.90,0.90,0.85,0.80,0.85,5m
Red,SELF_DEST_DRONE,RIFLE,All,40000,-,0.90,0.90,0.85,0.80,0.85,5m
Blue,TANK,TANK,Open,3000,-,0.70,0.60,0.35,0.15,0.70,
Blue,TANK,TANK,Defilade,3000,-,0.18,0.09,0.05,0.02,0.70,
Blue,TANK,RIFLE,Stand,3000,-,0.95,0.90,0.80,0.60,1.00,
Blue,TANK,RIFLE,Prone,3000,-,0.40,0.32,0.07,0.00,0.40,
Blue,TANK,RIFLE,Trench,3000,-,0.12,0.07,0.01,0.00,0.40,
Blue,TANK,COMMAND_POST,All,3000,-,0.12,0.09,0.05,0.02,0.20,
Blue,ARTILLERY,TANK,All,22000,3000,Carlton,Carlton,Carlton,Carlton,0.30,SQRT(A/π)
Blue,ARTILLERY,RIFLE,Stand,22000,3000,Carlton,Carlton,Carlton,Carlton,0.70,SQRT(A/π)
Blue,ARTILLERY,RIFLE,Prone,22000,3000,Carlton,Carlton,Carlton,Carlton,0.45,SQRT(A/π)
Blue,ARTILLERY,RIFLE,Trench,22000,3000,Carlton,Carlton,Carlton,Carlton,0.25,SQRT(A/π)
Blue,ARTILLERY,COMMAND_POST,All,22000,3000,Carlton,Carlton,Carlton,Carlton,0.50,SQRT(A/π)
Blue,RIFLE,RIFLE,Stand,500,-,0.55,0.45,0.00,0.00,0.40,
Blue,RIFLE,RIFLE,Prone,500,-,0.40,0.32,0.00,0.00,0.40,
Blue,RIFLE,RIFLE,Trench,500,-,0.12,0.07,0.00,0.00,0.40,
Blue,RIFLE,DRONE,All,500,-,0.10,0.06,0.00,0.00,0.95,
Blue,RIFLE,SELF_DEST_DRONE,All,500,-,0.08,0.04,0.00,0.00,0.95,
Blue,ANTI_TANK,TANK,All,2500,75,0.98,0.95,0.94,0.92,0.90,
Blue,SELF_DEST_DRONE,TANK,All,5000,-,0.90,0.90,0.85,0.80,0.85,5m
Blue,SELF_DEST_DRONE,RIFLE,All,5000,-,0.90,0.90,0.85,0.80,0.85,5m
