timestamp,team,fire_cost,damage_cost,total
0.0,red,0.0,0.0,0.0
0.0,blue,0.0,0.0,0.0
1.0,red,0.0,0.0,0.0
1.0,blue,0.0,0.0,0.0
2.0,red,0.0,16000000000.0,16000000000.0
2.0,blue,10000000.0,0.0,10000000.0
3.0,red,0.0,24000000000.0,24000000000.0
3.0,blue,14000000.0,0.0,14000000.0
4.0,red,0.0,32000000000.0,32000000000.0
4.0,blue,24000000.0,0.0,24000000.0
5.0,red,0.0,36000000000.0,36000000000.0
5.0,blue,26000000.0,0.0,26000000.0
6.0,red,0.0,36000000000.0,36000000000.0
6.0,blue,26000000.0,0.0,26000000.0
7.0,red,0.0,36000000000.0,36000000000.0
7.0,blue,26000000.0,0.0,26000000.0
8.0,red,0.0,36000000000.0,36000000000.0
8.0,blue,26000000.0,0.0,26000000.0
9.0,red,0.0,36000000000.0,36000000000.0
9.0,blue,30000000.0,0.0,30000000.0
10.0,red,0.0,36000000000.0,36000000000.0
10.0,blue,34000000.0,0.0,34000000.0
11.0,red,0.0,36000000000.0,36000000000.0
11.0,blue,42000000.0,0.0,42000000.0
12.0,red,0.0,36000000000.0,36000000000.0
12.0,blue,42000000.0,0.0,42000000.0
13.0,red,0.0,36000000000.0,36000000000.0
13.0,blue,42000000.0,0.0,42000000.0
14.0,red,0.0,36000000000.0,36000000000.0
14.0,blue,52000000.0,0.0,52000000.0
15.0,red,0.0,36000000000.0,36000000000.0
15.0,blue,56000000.0,0.0,56000000.0
16.0,red,0.0,36000000000.0,36000000000.0
16.0,blue,68000000.0,0.0,68000000.0
17.0,red,0.0,36000000000.0,36000000000.0
17.0,blue,76000000.0,0.0,76000000.0
18.0,red,0.0,36000000000.0,36000000000.0
18.0,blue,88000000.0,0.0,88000000.0
19.0,red,0.0,36000000000.0,36000000000.0
19.0,blue,92000000.0,0.0,92000000.0
20.0,red,0.0,36000000000.0,36000000000.0
20.0,blue,104000000.0,0.0,104000000.0
21.0,red,0.0,36000000000.0,36000000000.0
21.0,blue,116000000.0,0.0,116000000.0
22.0,red,0.0,36000000000.0,36000000000.0
22.0,blue,128000000.0,0.0,128000000.0
23.0,red,0.0,36000000000.0,36000000000.0
23.0,blue,132000000.0,0.0,132000000.0
24.0,red,0.0,36000000000.0,36000000000.0
24.0,blue,144000000.0,0.0,144000000.0
25.0,red,0.0,40000000000.0,40000000000.0
25.0,blue,154000000.0,0.0,154000000.0
26.0,red,0.0,40000000000.0,40000000000.0
26.0,blue,182000000.0,0.0,182000000.0
27.0,red,0.0,40000000000.0,40000000000.0
27.0,blue,190000000.0,0.0,190000000.0
28.0,red,0.0,40000000000.0,40000000000.0
28.0,blue,198000000.0,0.0,198000000.0
29.0,red,0.0,40000000000.0,40000000000.0
29.0,blue,202000000.0,0.0,202000000.0
30.0,red,0.0,40000000000.0,40000000000.0
30.0,blue,218000000.0,0.0,218000000.0
31.0,red,0.0,40000000000.0,40000000000.0
31.0,blue,250000000.0,0.0,250000000.0
